round,domain,gamma_dist,beta_dist
45,amazon,3.7195306504145265e-05,1.969203003682196e-05
45,webcam,3.70789784938097e-05,7.672938409086782e-06
45,dslr,3.707275027409196e-05,3.979712346335873e-06
46,caltech,3.838789416477084e-05,2.4795604986138642e-05
46,amazon,3.819252015091479e-05,2.0604142264346592e-05
46,webcam,3.807232133112848e-05,7.966820703586563e-06
46,dslr,3.806594759225845e-05,4.118128344998695e-06
47,caltech,3.9390812162309885e-05,2.5720375560922548e-05
47,amazon,3.9190694224089384e-05,2.1537924112635665e-05
47,webcam,3.906624624505639e-05,8.266186341643333e-06
47,dslr,3.906007623299956e-05,4.258327862771694e-06
48,caltech,4.039442865177989e-05,2.6661899028113112e-05
48,amazon,4.018974141217768e-05,2.2491429263027385e-05
48,webcam,4.0060956962406635e-05,8.570270438212901e-06
48,dslr,4.0054990677163005e-05,4.400334546517115e-06
49,caltech,4.139819066040218e-05,2.7618831154541112e-05
49,amazon,4.1189370676875114e-05,2.346628753002733e-05
49,webcam,4.105622065253556e-05,8.879649612936191e-06
49,dslr,4.105031257495284e-05,4.544105649983976e-06
50,caltech,4.240212729200721e-05,2.859265441657044e-05
50,amazon,4.218961112201214e-05,2.446136568323709e-05
50,webcam,4.205209552310407e-05,9.194538506562822e-06
50,dslr,4.204612923786044e-05,4.6896329877199605e-06
51,caltech,4.3406529584899545e-05,2.958483855763916e-05
51,amazon,4.3190462747588754e-05,2.5478120733168907e-05
51,webcam,4.304849426262081e-05,9.514562407275662e-06
51,dslr,4.304223693907261e-05,4.83678923046682e-06
52,caltech,4.44114557467401e-05,3.0593313567806035e-05
52,amazon,4.419192555360496e-05,2.6516092475503683e-05
52,webcam,4.404532955959439e-05,9.839578524406534e-06
52,dslr,4.4038984924554825e-05,4.985660325473873e-06
53,caltech,4.5416963985189795e-05,3.161993663525209e-05
53,amazon,4.5193679397925735e-05,2.757543552434072e-05
53,webcam,4.5042455894872546e-05,1.0169731467613019e-05
53,dslr,4.503616946749389e-05,5.1363099373702426e-06
54,caltech,4.6422850573435426e-05,3.266438579885289e-05
54,amazon,4.61958406958729e-05,2.8656580980168656e-05
54,webcam,4.603955312632024e-05,1.0505324098630808e-05
54,dslr,4.603376146405935e-05,5.288635293254629e-06
55,caltech,4.742859164252877e-05,3.3727497793734074e-05
55,amazon,4.719826392829418e-05,2.9758730306639336e-05
55,webcam,4.703699960373342e-05,1.0845988072105683e-05
55,dslr,4.703155718743801e-05,5.442872861749493e-06
56,caltech,4.843465285375714e-05,3.480835221125744e-05
56,amazon,4.8200658056885004e-05,3.0880670237820596e-05
56,webcam,4.803459160029888e-05,1.11914441731642e-05
56,dslr,4.802952753379941e-05,5.598954885499552e-06
57,caltech,4.944112151861191e-05,3.590743290260434e-05
57,amazon,4.920322680845857e-05,3.2023606763686985e-05
57,webcam,4.903235821984708e-05,1.154162146121962e-05
57,dslr,4.902775981463492e-05,5.756849532190245e-06
58,caltech,5.044788122177124e-05,3.702299727592617e-05
58,amazon,5.020602839067578e-05,3.318656672490761e-05
58,webcam,5.003032856620848e-05,1.1896489922946785e-05
58,dslr,5.00260794069618e-05,5.916474947298411e-06
59,caltech,5.145481554791331e-05,3.815483069047332e-05
59,amazon,5.120935384184122e-05,3.437052509980276e-05
59,webcam,5.102829891256988e-05,1.2256634363438934e-05
59,dslr,5.1024690037593246e-05,6.078047590563074e-06
60,caltech,5.2461749874055386e-05,3.9302209188463166e-05
60,amazon,5.221273750066757e-05,3.557527088560164e-05
60,webcam,5.2026560297235847e-05,1.2621703717741184e-05
60,dslr,5.202341708354652e-05,6.241450137167703e-06
61,caltech,5.3468887927010655e-05,4.046637695864774e-05
61,amazon,5.321615026332438e-05,3.6800222005695105e-05
61,webcam,5.3024967201054096e-05,1.299227551498916e-05
61,dslr,5.302228964865208e-05,6.406547527149087e-06
62,caltech,5.4476200602948666e-05,4.164625715930015e-05
62,amazon,5.421973764896393e-05,3.8045418477850035e-05
62,webcam,5.402343231253326e-05,1.3368068721320014e-05
62,dslr,5.402139504440129e-05,6.5734902818803675e-06
63,caltech,5.5483600590378046e-05,4.2841558752115816e-05
63,amazon,5.522338324226439e-05,3.9310954889515415e-05
63,webcam,5.502198473550379e-05,1.374878684146097e-05
63,dslr,5.5020616855472326e-05,6.742221103195334e-06
64,caltech,5.6491204304620624e-05,4.405317667988129e-05
64,amazon,5.622702883556485e-05,4.0596016333438456e-05
64,webcam,5.602056626230478e-05,1.4134549928712659e-05
64,dslr,5.601980956271291e-05,6.91272680342081e-06
65,caltech,5.7499040849506855e-05,4.528403587755747e-05
65,amazon,5.723099457100034e-05,4.190036270301789e-05
65,webcam,5.701929330825806e-05,1.4525073311233427e-05
65,dslr,5.701914778910577e-05,7.085028300934937e-06
